"Country","Year","Value","Destination"
"LAO",1981,3300000,"pop 17"
"LVA",1981,2519000,"pop 17"
"LBN",1981,2650000,"pop 17"
"LSO",1981,1236000,"pop 17"
"LBR",1981,NA,"pop 17"
"LBY",1981,3180000,"pop 17"
"LTU",1981,3433000,"pop 17"
"LUX",1981,366000,"pop 17"
"MKD",1981,1806000,"pop 17"
"MDG",1981,8960000,"pop 17"
"MWI",1981,6748000,"pop 17"
"MYS",1981,14229000,"pop 17"
"MDV",1981,158000,"pop 17"
"MLI",1981,6571000,"pop 17"
"MLT",1981,314000,"pop 17"
"MHL",1981,NA,"pop 17"
"MRT",1981,NA,"pop 17"
"MUS",1981,981000,"pop 17"
"MEX",1981,69193000,"pop 17"
"FSM",1981,NA,"pop 17"
"MDA",1981,NA,"pop 17"
"MNG",1981,NA,"pop 17"
"MNE",1981,586000,"pop 17"
"MAR",1981,19836000,"pop 17"
"MOZ",1981,12422000,"pop 17"
"MMR",1981,NA,"pop 17"
"NAM",1981,NA,"pop 17"
"NPL",1981,15513000,"pop 17"
"NLD",1981,14247000,"pop 17"
"NZL",1981,3129000,"pop 17"
"NIC",1981,NA,"pop 17"
"NER",1981,5883000,"pop 17"
"NGA",1981,70388000,"pop 17"
"NOR",1981,4107000,"pop 17"
"OMN",1981,1470000,"pop 17"
"PAK",1981,84870000,"pop 17"
"PAN",1981,2000000,"pop 17"
"PNG",1981,3040000,"pop 17"
"PRY",1981,3207000,"pop 17"
"PER",1981,17760000,"pop 17"
"PHL",1981,49540000,"pop 17"
"POL",1981,35887000,"pop 17"
"PRT",1981,9819000,"pop 17"
"QAT",1981,235000,"pop 17"
"ROU",1981,22553000,"pop 17"
"RUS",1981,NA,"pop 17"
"RWA",1981,5350000,"pop 17"
"WSM",1981,NA,"pop 17"
"SMR",1981,NA,"pop 17"
"STP",1981,91000,"pop 17"
"SAU",1981,9786000,"pop 17"
"SEN",1981,5627000,"pop 17"
"SRB",1981,7729000,"pop 17"
"SYC",1981,64000,"pop 17"
"SLE",1981,2946000,"pop 17"
"SGP",1981,2647000,"pop 17"
"SVK",1981,4996329,"pop 17"
"SVN",1981,1909566,"pop 17"
"SLB",1981,230000,"pop 17"
"ZAF",1981,29879000,"pop 17"
"SSD",1981,NA,"pop 17"
"ESP",1981,37742000,"pop 17"
"LKA",1981,14800000,"pop 17"
"KNA",1981,45000,"pop 17"
"LCA",1981,117000,"pop 17"
"VCT",1981,98000,"pop 17"
"SDN",1981,19240000,"pop 17"
"SUR",1981,NA,"pop 17"
"SWZ",1981,666000,"pop 17"
"SWE",1981,8323000,"pop 17"
"CHE",1981,6335000,"pop 17"
"SYR",1981,9444000,"pop 17"
"TWN",1981,18194000,"pop 17"
"TJK",1981,NA,"pop 17"
"TZA",1981,19850000,"pop 17"
"THA",1981,47880000,"pop 17"
"TLS",1981,NA,"pop 17"
"TGO",1981,2246000,"pop 17"
"TON",1981,93000,"pop 17"
"TTO",1981,NA,"pop 17"
"TUN",1981,6570000,"pop 17"
"TUR",1981,43119000,"pop 17"
"TKM",1981,NA,"pop 17"
"TUV",1981,NA,"pop 17"
"ARE",1981,1100000,"pop 17"
"UGA",1981,12910000,"pop 17"
"UKR",1981,NA,"pop 17"
"GBR",1981,56357000,"pop 17"
"USA",1981,229916000,"pop 17"
"URY",1981,2932000,"pop 17"
"UZB",1981,NA,"pop 17"
"VUT",1981,119000,"pop 17"
"VEN",1981,15403000,"pop 17"
"VNM",1981,55310000,"pop 17"
"YEM",1981,NA,"pop 17"
"ZMB",1981,6023000,"pop 17"
"ZWE",1981,7575000,"pop 17"
"AFG",1982,NA,"pop 17"
"ALB",1982,2781000,"pop 17"
"DZA",1982,19864000,"pop 17"
"AGO",1982,7949000,"pop 17"
"PHL",1982,50780000,"pop 17"
"POL",1982,36216000,"pop 17"
"PRT",1982,9884000,"pop 17"
"QAT",1982,253000,"pop 17"
"ROU",1982,22660000,"pop 17"
"RUS",1982,NA,"pop 17"
"RWA",1982,5550000,"pop 17"
"WSM",1982,NA,"pop 17"
"SMR",1982,NA,"pop 17"
"STP",1982,93000,"pop 17"
"SAU",1982,10276000,"pop 17"
"SEN",1982,5785000,"pop 17"
"SRB",1982,7738000,"pop 17"
"SYC",1982,64000,"pop 17"
"SLE",1982,3008000,"pop 17"
"SGP",1982,2681000,"pop 17"
"SVK",1982,5035881,"pop 17"
"SVN",1982,1903495,"pop 17"
"SLB",1982,240000,"pop 17"
"ZAF",1982,30645000,"pop 17"
"SSD",1982,NA,"pop 17"
"ESP",1982,37944000,"pop 17"
"LKA",1982,14986000,"pop 17"
"KNA",1982,45000,"pop 17"
"LCA",1982,119000,"pop 17"
"VCT",1982,99000,"pop 17"
"SDN",1982,19800000,"pop 17"
"SUR",1982,NA,"pop 17"
"SWZ",1982,685000,"pop 17"
"SWE",1982,8327000,"pop 17"
"CHE",1982,6373000,"pop 17"
"SYR",1982,9758000,"pop 17"
"TWN",1982,18516000,"pop 17"
"TJK",1982,NA,"pop 17"
"TZA",1982,20482000,"pop 17"
"THA",1982,48850000,"pop 17"
"TLS",1982,NA,"pop 17"
"TGO",1982,2609000,"pop 17"
"TON",1982,93000,"pop 17"
"TTO",1982,NA,"pop 17"
"TUN",1982,6730000,"pop 17"
"TUR",1982,44276000,"pop 17"
"TKM",1982,NA,"pop 17"
"TUV",1982,NA,"pop 17"
"ARE",1982,1170000,"pop 17"
"UGA",1982,13304000,"pop 17"
"UKR",1982,NA,"pop 17"
"GBR",1982,56291000,"pop 17"
"USA",1982,232128000,"pop 17"
"URY",1982,2951000,"pop 17"
"UZB",1982,NA,"pop 17"
"VUT",1982,123000,"pop 17"
"VEN",1982,15861000,"pop 17"
"VNM",1982,56400000,"pop 17"
"YEM",1982,NA,"pop 17"
"ZMB",1982,6216000,"pop 17"
"ZWE",1982,7893000,"pop 17"
"AFG",1983,NA,"pop 17"
"ALB",1983,2838000,"pop 17"
"DZA",1983,20516000,"pop 17"
"AGO",1983,8157000,"pop 17"
"ATG",1983,63000,"pop 17"
"ARG",1983,29109000,"pop 17"
"ARM",1983,NA,"pop 17"
"AUS",1983,15484000,"pop 17"
"AUT",1983,7552000,"pop 17"
"AZE",1983,NA,"pop 17"
"COL",1983,30360000,"pop 17"
"BHS",1983,225000,"pop 17"
"BHR",1983,387000,"pop 17"
"BGD",1983,87460000,"pop 17"
"BRB",1983,250000,"pop 17"
"BLR",1983,NA,"pop 17"
"BEL",1983,9858000,"pop 17"
"BLZ",1983,157000,"pop 17"
"BEN",1983,3914000,"pop 17"
"BTN",1983,465000,"pop 17"
"BOL",1983,5637000,"pop 17"
"BIH",1983,NA,"pop 17"
"BWA",1983,994000,"pop 17"
"BRA",1983,129552000,"pop 17"
"BRN",1983,NA,"pop 17"
"BGR",1983,8948000,"pop 17"
"BFA",1983,8166000,"pop 17"
"BDI",1983,4461000,"pop 17"
"COL",1984,31004000,"pop 17"
"BHS",1984,230000,"pop 17"
"BHR",1984,400000,"pop 17"
"BGD",1984,89828000,"pop 17"
"BRB",1984,250000,"pop 17"
"BLR",1984,NA,"pop 17"
"BEL",1984,9853000,"pop 17"
"BLZ",1984,162000,"pop 17"
"BEN",1984,4037000,"pop 17"
"BTN",1984,477000,"pop 17"
"BOL",1984,5754000,"pop 17"
"BIH",1984,NA,"pop 17"
"BWA",1984,1031000,"pop 17"
"BRA",1984,132550000,"pop 17"
"BRN",1984,NA,"pop 17"
"BGR",1984,8963000,"pop 17"
"BFA",1984,8372000,"pop 17"
"BDI",1984,4591000,"pop 17"
"KHM",1984,NA,"pop 17"
"CMR",1984,9848000,"pop 17"
"CAN",1984,25577000,"pop 17"
"CPV",1984,292000,"pop 17"
"CAF",1984,2560000,"pop 17"
"TCD",1984,4870000,"pop 17"
"CHL",1984,11917000,"pop 17"
"CHN",1984,1043570000,"pop 17"
"COM",1984,375000,"pop 17"
"COD",1984,33955000,"pop 17"
"COG",1984,1804000,"pop 17"
